PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Moodbidri,2014,174,1,Convition 
Moodbidri,2014,175,1,Convition 
Moodbidri,2014,176,2,PT
Moodbidri,2014,177,4,PT
Moodbidri,2014,178,1,Convition 
Moodbidri,2014,179,1,UI
Moodbidri,2014,180,1,Convition 
Moodbidri,2014,181,1,Convition 
Moodbidri,2014,182,1,PT
Moodbidri,2014,183,1,PT
Moodbidri,2014,184,2,PT
Moodbidri,2014,185,1,Convition 
Moodbidri,2014,186,1,Convition 
Moodbidri,2014,187,5,PT
Moodbidri,2014,188,2,PT
Moodbidri,2014,189,1,Convition 
Moodbidri,2014,190,7,PT
Moodbidri,2014,191,1,Convition 
Moodbidri,2014,192,-,UI
Moodbidri,2014,193,-,UI
Moodbidri,2014,194,-,PT
Moodbidri,2014,195,2,PT
Moodbidri,2014,196,-,TRACED 
Moodbidri,2014,197,1,PT
Moodbidri,2014,198,-,UI
Moodbidri,2014,199,-,Bond over 
Moodbidri,2014,200,-,UI
Moodbidri,2014,201,4,PT 
Moodbidri,2014,202,1,PT
Moodbidri,2014,203,-,TRACED 
Moodbidri,2014,204,1,PT
Moodbidri,2014,205,1,PT
Moodbidri,2014,206,1,PT
Moodbidri,2014,207,1,Convition 
Moodbidri,2014,208,-,UN
Moodbidri,2014,209,1,PT
Moodbidri,2014,210,1,PT
Moodbidri,2014,211,1,PT
Moodbidri,2014,212,1,PT
Moodbidri,2014,213,1,PT
Moodbidri,2014,214,1,PT
Moodbidri,2014,215,1,PT
Moodbidri,2014,216,1,PT
Moodbidri,2014,217,-,UI
Moodbidri,2014,218,-,Charge abet
Moodbidri,2014,219,2,CC PENDING 
Moodbidri,2014,220,7,UI
Moodbidri,2014,221,1,UI
Moodbidri,2014,222,2,PT
Moodbidri,2014,223,1,PT
Moodbidri,2014,224,1,PT
Moodbidri,2014,225,1,PT 
Moodbidri,2014,226,-,TRACED 
Moodbidri,2014,227,6,PT
Moodbidri,2014,228,1,PT
Moodbidri,2014,229,1,PT
Moodbidri,2014,230,-,UI
Moodbidri,2014,231,2,PT
Moodbidri,2014,232,1,PT
Moodbidri,2014,233,3,PT
Moodbidri,2014,234,1,PT
Moodbidri,2014,235,1,PT
Moodbidri,2014,236,-,Bond over 
Moodbidri,2014,237,1,UI
Moodbidri,2014,238,1,UI
Moodbidri,2014,239,6,PT
Moodbidri,2014,240,1,PT
Moodbidri,2014,241,1,UI  (CC PENDING )
Moodbidri,2014,242,1,Convition 
Moodbidri,2014,243,-,UN
Moodbidri,2014,244,1,UI
Moodbidri,2014,245,1,PT
Moodbidri,2014,246,-,TRACED 
Moodbidri,2014,247,-,Bond over 
Moodbidri,2014,248,-,Bond over 
Moodbidri,2014,249,1,PT
Moodbidri,2014,250,1,PT
Moodbidri,2014,251,-,UI
Moodbidri,2014,252,-,Bond over 
Moodbidri,2014,253,-,Bond over 
Moodbidri,2014,254,-,Bond over 
Moodbidri,2014,255,-,Bond over 
Moodbidri,2014,256,-,Bond over 
Moodbidri,2014,257,1,PT
