PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Mangalore North,2014,192,1,PT
Mangalore North,2014,193,,UI
Mangalore North,2014,194,3,PT
Mangalore North,2014,195,3,PT
Mangalore North,2014,196,,TRACED
Mangalore North,2014,197,2,ACQ
Mangalore North,2014,198,,UI
Mangalore North,2014,199,,C
Mangalore North,2014,200,,UI
Mangalore North,2014,201,3,UI
Mangalore North,2014,202,2,PT
Mangalore North,2014,203,,UI
Mangalore North,2014,204,,UI
Mangalore North,2014,205,,UI
Mangalore North,2014,206,,UI
Mangalore North,2014,207,,UI
Mangalore North,2014,208,3,PT
Mangalore North,2014,209,,UI
Mangalore North,2014,210,5,UI
Mangalore North,2014,211,1,UI
Mangalore North,2014,212,2,PT
Mangalore North,2014,213,6,PT
Mangalore North,2014,214,1,PT
Mangalore North,2014,215,,UI
Mangalore North,2014,216,,B
Mangalore North,2014,217,1,PT
Mangalore North,2014,218,1,PT
Mangalore North,2014,219,1,UI
Mangalore North,2014,220,1,UI
Mangalore North,2014,221,2,PT
Mangalore North,2014,222,2,PT
Mangalore North,2014,223,1,UI
Mangalore North,2014,224,1,PT
Mangalore North,2014,225,,UI
Mangalore North,2014,226,,UI
Mangalore North,2014,227,,UI
Mangalore North,2014,228,,UI
Mangalore North,2014,229,,UI
Mangalore North,2014,230,,UI
Mangalore North,2014,231,,UI
Mangalore North,2014,232,,UI
Mangalore North,2014,233,,PT
Mangalore North,2014,234,,UI
Mangalore North,2014,235,2,UI
Mangalore North,2014,236,,UI
Mangalore North,2014,237,,UI
Mangalore North,2014,238,1,PT
Mangalore North,2014,239,2,PT
Mangalore North,2014,240,,PT
Mangalore North,2014,241,,UI
Mangalore North,2014,242,,UI
Mangalore North,2014,243,,UI
Mangalore North,2014,244,,UI
Mangalore North,2014,245,1,PT
Mangalore North,2014,246,,UI
Mangalore North,2014,247,,UI
Mangalore North,2014,248,,TRANS WPS 
Mangalore North,2014,249,,UI
Mangalore North,2014,250,,UI
Mangalore North,2014,251,,UI
Mangalore North,2014,252,1,PT
Mangalore North,2014,253,,UI
Mangalore North,2014,254,,UI
