PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Surathkal,2014,177,1,Conviction
Surathkal,2014,178,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,179,3,Chargesheet Submitted awaiting CC 
Surathkal,2014,180,1,Conviction
Surathkal,2014,181,0,Traced
Surathkal,2014,182,2,Chargesheet Submitted awaiting CC 
Surathkal,2014,183,0,C Report
Surathkal,2014,184,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,185,4,Chargesheet Submitted awaiting CC 
Surathkal,2014,186,0,UI
Surathkal,2014,187,0,UI
Surathkal,2014,188,1,Conviction
Surathkal,2014,189,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,190,0,Traced
Surathkal,2014,191,0,UI
Surathkal,2014,192,0,Traced
Surathkal,2014,193,3,Conviction
Surathkal,2014,194,0,C report
Surathkal,2014,195,0,C report
Surathkal,2014,196,3,PT
Surathkal,2014,197,1,PT
Surathkal,2014,198,0,C report
Surathkal,2014,199,0,UI
Surathkal,2014,200,0,Traced
Surathkal,2014,201,0,C report
Surathkal,2014,202,0,C report
Surathkal,2014,203,0,B report
Surathkal,2014,204,4,Chargesheet Submitted awaiting CC 
Surathkal,2014,205,0,Traced
Surathkal,2014,206,0,UI
Surathkal,2014,207,1,PT
Surathkal,2014,208,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,209,1,PT
Surathkal,2014,210,7,Conviction
Surathkal,2014,211,0,Traced
Surathkal,2014,212,2,PT
Surathkal,2014,213,4,PT
Surathkal,2014,214,0,Traced
Surathkal,2014,215,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,216,3,Chargesheet Submitted awaiting CC 
Surathkal,2014,217,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,218,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,219,5,PT
Surathkal,2014,220,0,B report
Surathkal,2014,221,0,UI
Surathkal,2014,222,1,PT
Surathkal,2014,223,2,PT
Surathkal,2014,224,2,PT
Surathkal,2014,225,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,226,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,227,0,C Report
Surathkal,2014,228,0,Traced
Surathkal,2014,229,0,UI
Surathkal,2014,230,0,Traced
Surathkal,2014,231,1,PT
Surathkal,2014,232,5,PT
Surathkal,2014,233,1,Compound
Surathkal,2014,234,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,235,3,Chargesheet Submitted awaiting CC 
Surathkal,2014,236,0,B report
Surathkal,2014,237,0,UI
Surathkal,2014,238,0,C report
Surathkal,2014,239,0,C report
Surathkal,2014,240,0,UI
